date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:43	674/674	---M--	200	added ('OK')	image/png	etag:%222a2-55e78cfbc1799%22	https://scamcrows.github.io/assets/images/YouTube-icon.png	C:/My%20Web%20Sites/snowcrows/assets/images/YouTube-icon.png	(from https://scamcrows.github.io/)
19:19:43	57384/57384	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:43%20GMT	https://scamcrows.github.io/raids/necromancer/	C:/My%20Web%20Sites/snowcrows/raids/necromancer/index.html	(from https://scamcrows.github.io/)
19:19:43	1559/1559	---M--	200	added ('OK')	image/png	etag:%222c21aeda16de354ba5334551a883b481%22	https://i.imgur.com/UMeY7XC.png	C:/My%20Web%20Sites/snowcrows/UMeY7XC.png	(from https://scamcrows.github.io/)
19:19:44	189439/189439	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:44%20GMT	https://scamcrows.github.io/raids/ranger/	C:/My%20Web%20Sites/snowcrows/raids/ranger/index.html	(from https://scamcrows.github.io/)
19:19:44	235046/235046	---M--	200	added ('OK')	image/jpeg	etag:%2239626-55a7c6addf46b%22	https://scamcrows.github.io/assets/homebg2.jpg	C:/My%20Web%20Sites/snowcrows/assets/homebg2.jpg	(from https://scamcrows.github.io/)
19:19:44	484687/484687	---M--	200	added ('OK')	image/jpeg	etag:%227654f-55a7c6aaa6cdc%22	https://scamcrows.github.io/assets/homebg.jpg	C:/My%20Web%20Sites/snowcrows/assets/homebg.jpg	(from https://scamcrows.github.io/)
19:19:44	166807/166807	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:44%20GMT	https://scamcrows.github.io/raids/engineer/	C:/My%20Web%20Sites/snowcrows/raids/engineer/index.html	(from https://scamcrows.github.io/)
19:19:45	65980/65980	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:44%20GMT	https://scamcrows.github.io/raids/thief/	C:/My%20Web%20Sites/snowcrows/raids/thief/index.html	(from https://scamcrows.github.io/)
19:19:45	176978/176978	---M--	200	added ('OK')	image/jpeg	etag:%222b352-55a7c6b1c5941%22	https://scamcrows.github.io/assets/homebg3.jpg	C:/My%20Web%20Sites/snowcrows/assets/homebg3.jpg	(from https://scamcrows.github.io/)
19:19:45	366/366	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:45%20GMT	https://scamcrows.github.io/builds	C:/My%20Web%20Sites/snowcrows/builds	(from https://scamcrows.github.io/)
19:19:45	100875/100875	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:45%20GMT	https://scamcrows.github.io/raids/warrior/	C:/My%20Web%20Sites/snowcrows/raids/warrior/index.html	(from https://scamcrows.github.io/)
19:19:45	167634/167634	---M--	200	added ('OK')	image/png	etag:%2228ed2-55e6cd0204fe5%22	https://scamcrows.github.io/assets/images/index/builds.png	C:/My%20Web%20Sites/snowcrows/assets/images/index/builds.png	(from https://scamcrows.github.io/)
19:19:45	185554/185554	---M--	200	added ('OK')	image/png	etag:%222d4d2-55baaacc48f2b%22	https://scamcrows.github.io/assets/images/index/Potions.png	C:/My%20Web%20Sites/snowcrows/assets/images/index/Potions.png	(from https://scamcrows.github.io/)
19:19:45	166045/166045	---M--	200	added ('OK')	image/png	etag:%222889d-55baaa9b6896e%22	https://scamcrows.github.io/assets/images/index/New.png	C:/My%20Web%20Sites/snowcrows/assets/images/index/New.png	(from https://scamcrows.github.io/)
19:19:46	366/366	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:45%20GMT	https://scamcrows.github.io/social	C:/My%20Web%20Sites/snowcrows/social	(from https://scamcrows.github.io/)
19:19:46	80567/80567	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:46%20GMT	https://scamcrows.github.io/raids/guardian/	C:/My%20Web%20Sites/snowcrows/raids/guardian/index.html	(from https://scamcrows.github.io/)
19:19:46	3685/3685	---M--	200	added ('OK')	image/png	etag:%2238f59babdb9f0c042525e8bd02cbdbce%22	https://i.imgur.com/3ElSbeL.png	C:/My%20Web%20Sites/snowcrows/3ElSbeL.png	(from https://scamcrows.github.io/)
19:19:46	186833/186833	---M--	200	added ('OK')	image/png	etag:%222d9d1-55e5379cbabc8%22	https://scamcrows.github.io/assets/images/index/Social2.png	C:/My%20Web%20Sites/snowcrows/assets/images/index/Social2.png	(from https://scamcrows.github.io/)
19:19:46	100505/100505	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:46%20GMT	https://scamcrows.github.io/raids/revenant/	C:/My%20Web%20Sites/snowcrows/raids/revenant/index.html	(from https://scamcrows.github.io/)
19:19:46	4250/4250	---M--	200	added ('OK')	image/png	etag:%223e4a44c300e8be77bb8f19b36859265d%22	https://i.imgur.com/B1AitJR.png	C:/My%20Web%20Sites/snowcrows/B1AitJR.png	(from https://scamcrows.github.io/)
19:19:47	5758/5758	---M--	200	added ('OK')	image/png	etag:%22fc02ff6a29c6a8f7e3f6d0c6ccffa9da%22	https://i.imgur.com/Vs0eBsz.png	C:/My%20Web%20Sites/snowcrows/Vs0eBsz.png	(from https://scamcrows.github.io/)
19:19:47	1875/1875	---M-Z	200	added ('OK')	application/javascript	etag:%22753-55daf94288f13-gzip%22	https://scamcrows.github.io/assets/stylesheet/dropdown1.js	C:/My%20Web%20Sites/snowcrows/assets/stylesheet/dropdown1.js	(from https://scamcrows.github.io/)
19:19:47	189454/189454	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:47%20GMT	https://scamcrows.github.io/fractals/elementalist/	C:/My%20Web%20Sites/snowcrows/fractals/elementalist/index.html	(from https://scamcrows.github.io/)
19:19:47	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:%22176bb-53fc9e2775100-gzip%22	https://scamcrows.github.io/assets/web/assets/jquery/jquery.min.js	C:/My%20Web%20Sites/snowcrows/assets/web/assets/jquery/jquery.min.js	(from https://scamcrows.github.io/)
19:19:47	117734/117734	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:47%20GMT	https://scamcrows.github.io/slaying/	C:/My%20Web%20Sites/snowcrows/slaying/index.html	(from https://scamcrows.github.io/)
19:19:48	23217/23217	---M-Z	200	added ('OK')	application/javascript	etag:%225ab1-53fc9e2d2de80-gzip%22	https://scamcrows.github.io/assets/tether/tether.min.js	C:/My%20Web%20Sites/snowcrows/assets/tether/tether.min.js	(from https://scamcrows.github.io/)
19:19:48	44826/44826	---M-Z	200	added ('OK')	application/javascript	etag:%22af1a-54018c4850d00-gzip%22	https://scamcrows.github.io/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/snowcrows/assets/bootstrap/js/bootstrap.min.js	(from https://scamcrows.github.io/)
19:19:48	8636/8636	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:47%20GMT	https://scamcrows.github.io/newtoraids/	C:/My%20Web%20Sites/snowcrows/newtoraids/index.html	(from https://scamcrows.github.io/)
19:19:48	20440/20440	---M-Z	200	added ('OK')	application/javascript	etag:%224fd8-53fc9e32e6c00-gzip%22	https://scamcrows.github.io/assets/smooth-scroll/SmoothScroll.js	C:/My%20Web%20Sites/snowcrows/assets/smooth-scroll/SmoothScroll.js	(from https://scamcrows.github.io/)
19:19:48	7613/7613	---M-Z	200	added ('OK')	application/javascript	etag:%221dbd-53fc9e5353880-gzip%22	https://scamcrows.github.io/assets/viewportChecker/jquery.viewportchecker.js	C:/My%20Web%20Sites/snowcrows/assets/viewportChecker/jquery.viewportchecker.js	(from https://scamcrows.github.io/)
19:19:48	9653/9653	---M-Z	200	added ('OK')	application/javascript	etag:%2225b5-53fc9e553bd00-gzip%22	https://scamcrows.github.io/assets/dropdown/js/script.min.js	C:/My%20Web%20Sites/snowcrows/assets/dropdown/js/script.min.js	(from https://scamcrows.github.io/)
19:19:49	20412/20412	---M-Z	200	added ('OK')	application/javascript	etag:%224fbc-53fc9e5724180-gzip%22	https://scamcrows.github.io/assets/touchSwipe/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/snowcrows/assets/touchSwipe/jquery.touchSwipe.min.js	(from https://scamcrows.github.io/)
19:19:49	15732/15732	---M-Z	200	added ('OK')	application/javascript	etag:%223d74-53fc9e5af4a80-gzip%22	https://scamcrows.github.io/assets/jarallax/jarallax.js	C:/My%20Web%20Sites/snowcrows/assets/jarallax/jarallax.js	(from https://scamcrows.github.io/)
19:19:49	21761/21761	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:49%20GMT	https://scamcrows.github.io/social/	C:/My%20Web%20Sites/snowcrows/social/index.html	(from https://scamcrows.github.io/)
19:19:49	19519/19519	---M-Z	200	added ('OK')	application/javascript	etag:%224c3f-550561623042c-gzip%22	https://scamcrows.github.io/assets/theme/js/script.js	C:/My%20Web%20Sites/snowcrows/assets/theme/js/script.js	(from https://scamcrows.github.io/)
19:19:50	17172/17172	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:49%20GMT	https://scamcrows.github.io/recruitment/	C:/My%20Web%20Sites/snowcrows/recruitment/index.html	(from https://scamcrows.github.io/)
19:19:50	15510/15510	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:49%20GMT	https://scamcrows.github.io/builds/	C:/My%20Web%20Sites/snowcrows/builds/index.html	(from https://scamcrows.github.io/)
19:19:50	42577/42577	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:49%20GMT	https://scamcrows.github.io/forum/	C:/My%20Web%20Sites/snowcrows/forum/index.html	(from https://scamcrows.github.io/)
19:19:50	1027/1027	---M--	200	added ('OK')	image/png	etag:%224098a58053186f2da20a6bbc19b0ff8f%22	https://i.imgur.com/3NlVJUK.png	C:/My%20Web%20Sites/snowcrows/3NlVJUK.png	(from https://scamcrows.github.io/assets/cursor.css)
19:19:50	970/970	---M--	200	added ('OK')	image/png	etag:%22e252490f6c2d4636931bc31cae540688%22	https://i.imgur.com/ErcBprb.png	C:/My%20Web%20Sites/snowcrows/ErcBprb.png	(from https://scamcrows.github.io/assets/cursor.css)
19:19:51	282944/282944	---MCZ	200	added ('OK')	application/javascript	etag:%2245140-55d7c5ac8f300-gzip%22	https://scamcrows.github.io/benchmarks/css/jquery-1.11.0.js	C:/My%20Web%20Sites/snowcrows/benchmarks/css/jquery-1.11.0.js	(from https://scamcrows.github.io/benchmarks/)
19:19:51	118/118	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2023:19:51%20GMT	https://unpkg.com/armory-embeds@^0.x.x/armory-embeds.js	C:/My%20Web%20Sites/snowcrows/armory-embeds@^0.x.x/armory-embeds.38.delayed	(from https://scamcrows.github.io/benchmarks/)
19:19:51	1987/1987	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c3-1606ba8c5d8%22	https://unpkg.com/armory-embeds@0.4.0/armory-embeds.js	C:/My%20Web%20Sites/snowcrows/armory-embeds@0.4.0/armory-embeds.js	(from https://scamcrows.github.io/benchmarks/)
